ArrayTaskID	SampleName
1	AGN001SA
2	AGN002SA
3	AGN003SA
4	AGN004SA
5	AGN005SA
6	AGN006SA
7	AGN008SA
8	AGN009SA
9	AGN010SA
10	AGN011SA
11	AGN013SA
12	AGN015SA
13	AGN018SA
14	AGN019SA
15	AGN020SA
16	AGN021SA
17	AGN022SA
18	AGN023SA
19	AGN025SA
20	AGN026SA
21	AGN027SA
22	AGN028SA
23	AGN030SA
24	AGN031SA
25	AGN032SA
26	AGN033SA
27	AGN034SA
28	AGN035SA
29	AGN036SA
30	AGN037SA
31	AGN038SA
32	AGN039SA
33	AGN041SA
34	AGN042SA
35	AGN043SA
36	AGN044SA
37	AGN045SA
38	AGN046SA
39	AGN047SA
